i Re Im
791 -0.42354 -3.1225e-17
792 -0.441701 -1.73472e-17
793 -0.460071 7.28584e-17
794 -0.478646 -1.04083e-16
795 -0.497421 1.80411e-16
796 -0.516391 3.46945e-17
797 -0.535552 2.22045e-16
798 -0.554898 -9.71445e-17
799 -0.574426 -1.66533e-16
800 -0.59413 -4.64906e-16
801 -0.614006 -2.77556e-16
802 -0.634048 -3.81639e-16
803 -0.65425 -2.91434e-16
804 -0.674609 -4.71845e-16
805 -0.695118 -2.42861e-16
806 -0.715772 -3.46945e-16
807 -0.736566 -3.46945e-16
808 -0.757495 -1.94289e-16
809 -0.778551 -2.08167e-16
810 -0.799731 -3.88578e-16
811 -0.821028 -1.66533e-16
812 -0.842437 -3.60822e-16
813 -0.863951 -3.05311e-16
814 -0.885564 -3.46945e-16
815 -0.907272 -1.52656e-16
816 -0.929067 -4.85723e-16
817 -0.950944 -2.498e-16
818 -0.972896 -5.27356e-16
819 -0.994917 -2.77556e-16
820 -1.017 -7.21645e-16
821 -1.03914 -3.60822e-16
822 -1.06134 -5.27356e-16
823 -1.08357 -2.22045e-16
824 -1.10584 -8.32667e-17
825 -1.12815 -1.11022e-16
826 -1.15048 5.55112e-17
827 -1.17283 8.32667e-17
828 -1.19519 0
829 -1.21755 2.22045e-16
830 -1.23991 -1.11022e-16
831 -1.26227 -2.77556e-17
832 -1.28461 -2.498e-16
833 -1.30692 -8.32667e-17
834 -1.32921 -3.60822e-16
835 -1.35147 -2.498e-16
836 -1.37368 -4.996e-16
837 -1.39584 -2.77556e-16
838 -1.41795 -5.55112e-16
839 -1.43999 -3.33067e-16
840 -1.46197 -1.66533e-16
841 -1.48387 -2.22045e-16
842 -1.50569 0
843 -1.52741 1.11022e-16
844 -1.54904 5.55112e-17
845 -1.57057 5.55112e-17
846 -1.59199 -1.11022e-16
847 -1.61329 1.11022e-16
848 -1.63447 -3.33067e-16
849 -1.65551 -2.77556e-16
850 -1.67642 -3.88578e-16
851 -1.69718 -3.88578e-16
852 -1.71779 -7.21645e-16
853 -1.73825 -5.55112e-16
854 -1.75854 -7.21645e-16
855 -1.77866 -2.22045e-16
856 -1.7986 -4.44089e-16
857 -1.81835 -1.66533e-16
858 -1.83792 -2.77556e-16
859 -1.85729 1.11022e-16
860 -1.87645 -1.66533e-16
861 -1.8954 2.77556e-16
862 -1.91413 -1.66533e-16
863 -1.93264 -5.55112e-17
864 -1.95092 -7.21645e-16
865 -1.96896 -6.10623e-16
866 -1.98676 -7.77156e-16
867 -2.00431 -4.996e-16
868 -2.02161 -5.55112e-16
869 -2.03864 -4.996e-16
870 -2.0554 -6.66134e-16
871 -2.07189 -2.77556e-16
872 -2.0881 -2.77556e-16
873 -2.10403 -1.11022e-16
874 -2.11966 -4.71845e-16
875 -2.135 -2.22045e-16
876 -2.15003 -3.33067e-16
877 -2.16475 -1.11022e-16
878 -2.17916 -3.60822e-16
879 -2.19324 8.32667e-17
880 -2.20701 -4.71845e-16
881 -2.22044 -3.05311e-16
882 -2.23353 -4.996e-16
883 -2.24628 -2.77556e-16
